Rk,School,Conf,Unnamed:_3_level_1,W,L,Pts,Opp,MOV,Unnamed:_9_level_1,SOS,Unnamed:_11_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,season
180,UTEP,CUSA,,17,15,67.4,66.1,1.28,,-0.45,,-4.93,3.93,-1.00,96.32,95.64,0.68,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
181,Loyola Marymount,WCC,,11,21,64.3,67.8,-3.47,,3.88,,-6.67,5.58,-1.09,100.54,101.36,-0.82,2020
182,Siena,MAAC,,20,10,72.2,67.7,4.53,,-5.66,,0.51,-1.64,-1.13,104.37,104.18,0.19,2020
183,Hawaii,Big West,,17,13,68.6,67.2,1.37,,-2.10,,-2.67,1.40,-1.27,98.75,98.98,-0.23,2020
184,Northern Illinois,MAC (West),,18,13,66.8,64.5,2.35,,-2.16,,-6.25,4.92,-1.33,97.49,97.92,-0.44,2020
185,Portland State,Big Sky,,18,14,78.7,75.4,3.31,,-2.43,,6.66,-8.15,-1.50,105.59,106.36,-0.77,2020
186,Delaware,CAA,,22,11,74.3,70.7,3.64,,-3.84,,1.33,-2.86,-1.53,103.57,104.21,-0.64,2020
187,Florida Atlantic,CUSA,,17,15,71.1,69.4,1.66,,-1.25,,-1.40,-0.26,-1.66,98.90,99.75,-0.85,2020
188,South Dakota,Summit,,20,12,79.6,74.2,5.41,,-3.84,,4.32,-6.06,-1.74,106.33,106.85,-0.52,2020
189,Boston University,Patriot,,21,13,70.9,66.7,4.15,,-5.30,,-2.44,0.57,-1.87,101.42,102.56,-1.13,2020
190,California Baptist,WAC,,21,10,79.5,70.0,9.52,,-6.66,,2.74,-4.73,-1.99,104.25,105.49,-1.25,2020
191,Saint Francis (PA),NEC,,22,10,77.7,71.8,5.84,,-6.50,,2.95,-5.00,-2.05,104.77,106.46,-1.70,2020
192,Sacramento State,Big Sky,,16,14,63.2,59.7,3.47,,-2.76,,-9.66,7.58,-2.08,94.76,96.14,-1.38,2020
193,East Carolina,AAC,,11,20,68.1,72.2,-4.10,,1.82,,0.37,-2.65,-2.27,99.14,101.20,-2.06,2020
194,Stony Brook,AEC,,20,13,69.2,65.8,3.36,,-4.41,,-2.44,0.04,-2.41,95.70,97.83,-2.13,2020
195,William & Mary,CAA,,21,11,71.5,69.0,2.50,,-3.10,,-1.07,-1.38,-2.46,101.03,103.44,-2.41,2020
196,Radford,Big South,,21,11,71.9,66.1,5.84,,-5.71,,-3.29,0.62,-2.67,102.94,105.13,-2.19,2020
197,Illinois State,MVC,,10,21,66.1,70.0,-3.90,,1.97,,-2.71,0.02,-2.70,97.95,100.40,-2.45,2020
198,Abilene Christian,Southland,,20,11,75.9,65.3,10.58,,-6.87,,-2.98,0.12,-2.87,96.70,98.88,-2.19,2020
199,Arkansas State,Sun Belt,,16,16,70.7,71.9,-1.22,,-0.72,,-0.46,-2.46,-2.92,103.55,106.34,-2.79,2020
200,Wyoming,MWC,,9,24,62.7,69.9,-7.21,,4.82,,-6.93,3.88,-3.05,93.62,97.22,-3.61,2020
,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,2020
201,Rice,CUSA,,15,17,73.8,74.2,-0.38,,-0.76,,2.50,-5.60,-3.09,103.11,105.26,-2.15,2020
