game_id,date,season,season_type,neutral_site,conference_game,attendance,venue,completed,home_team,home_id,home_score,home_conference_id,away_team,away_id,away_score,away_conference_id,winner,total_points,point_diff
401602969,20231107,2024,2,False,False,839,SRC Arena,True,UC Riverside Highlanders,27,76,99,UC Merced Bobcats,3185,69,99,home,145,7
401602182,20231107,2024,2,False,False,1821,Provident Credit Union Event Center,True,San José State Spartans,23,72,99,UC Irvine Anteaters,300,64,99,home,136,8
401590947,20231107,2024,2,False,False,1430,Gersten Pavilion,True,Loyola Marymount Lions,2351,109,99,Westcliff Warriors,111910,68,99,home,177,41
401590735,20231107,2024,2,False,False,6875,Lawlor Events Center,True,Nevada Wolf Pack,2440,77,99,Sacramento State Hornets,16,63,99,home,140,14
401575451,20231106,2024,2,False,False,16300,Allen Fieldhouse,True,Kansas Jayhawks,2305,99,1,North Carolina Central Eagles,2428,56,99,home,155,43
401576147,20231106,2024,2,False,False,9314,Cameron Indoor Stadium,True,Duke Blue Devils,150,92,2,Dartmouth Big Green,159,54,99,home,146,38
401577640,20231106,2024,2,False,False,14876,Mackey Arena,True,Purdue Boilermakers,2509,98,3,Samford Bulldogs,2535,45,99,home,143,53
401581835,20231106,2024,2,False,False,14797,Breslin Center,True,Michigan State Spartans,127,76,4,James Madison Dukes,256,79,99,away,155,3
401577598,20231106,2024,2,False,False,16352,Fiserv Forum,True,Marquette Golden Eagles,269,92,5,Northern Illinois Huskies,2459,70,99,home,162,22
401584359,20231106,2024,2,False,False,10299,Gampel Pavilion,True,UConn Huskies,41,95,6,Northern Arizona Lumberjacks,2464,52,99,home,147,43
401575434,20231106,2024,2,False,False,6832,Fertitta Center,True,Houston Cougars,248,84,7,UL Monroe Warhawks,2433,31,99,home,115,53
401575517,20231106,2024,2,False,False,17046,Food City Center,True,Tennessee Volunteers,2633,80,9,Tennessee Tech Golden Eagles,2635,42,99,home,122,38
401600255,20231106,2024,2,False,False,13455,McKale Memorial Center,True,Arizona Wildcats,12,122,12,Morgan State Bears,2415,59,99,home,181,63
401588936,20231106,2024,2,False,False,6861,Watsco Center,True,Miami Hurricanes,2390,101,13,NJIT Highlanders,2885,60,99,home,161,41
401594524,20231106,2024,2,False,False,19200,Bud Walton Arena,True,Arkansas Razorbacks,8,93,14,Alcorn State Braves,2016,59,99,home,152,34
401575509,20231106,2024,2,False,False,8802,Reed Arena,True,Texas A&M Aggies,245,78,15,East Texas A&M Lions,2837,46,99,home,124,32
401588940,20231106,2024,2,False,False,18438,Rupp Arena,True,Kentucky Wildcats,96,86,16,New Mexico State Aggies,166,46,99,home,132,40
401597930,20231106,2024,2,False,False,12414,Viejas Arena,True,San Diego State Aztecs,21,83,17,Cal State Fullerton Titans,2239,57,99,home,140,26
401583724,20231106,2024,2,False,False,10763,Moody Center,True,Texas Longhorns,251,88,18,Incarnate Word Cardinals,2916,56,99,home,144,32
401583596,20231106,2024,2,False,False,17331,Dean E. Smith Center,True,North Carolina Tar Heels,153,86,19,Radford Highlanders,2515,70,99,home,156,16
401581588,20231106,2024,2,True,False,7595,T-Mobile Arena,True,USC Trojans,30,82,21,Kansas State Wildcats,2306,69,99,home,151,13
401584356,20231106,2024,2,False,False,6501,Finneran Pavilion,True,Villanova Wildcats,222,90,22,American University Eagles,44,63,99,home,153,27
401598037,20231106,2024,2,False,False,3318,University Credit Union Pavilion,True,Saint Mary's Gaels,2608,107,23,Stanislaus State Warriors,2616,28,99,home,135,79
401591429,20231106,2024,2,False,False,9078,Coleman Coliseum,True,Alabama Crimson Tide,333,105,24,Morehead State Eagles,2413,73,99,home,178,32
401584510,20231106,2024,2,False,False,15014,State Farm Center,True,Illinois Fighting Illini,356,80,25,Eastern Illinois Panthers,2197,52,99,home,132,28
401594209,20231106,2024,2,False,False,4867,Corteva Coliseum,True,IU Indianapolis Jaguars,85,70,99,Spalding Pelicans,2589,63,99,home,133,7
401610539,20231106,2024,2,False,False,2147,David S. Mack Sports and Exhibition Complex,True,Hofstra Pride,2275,101,99,Saint Josephs Long Island Golden Eagles,3196,48,99,home,149,53
401591565,20231106,2024,2,False,False,3321,Trojan Arena,True,Troy Trojans,2653,92,99,Fort Lauderdale Eagles,123362,47,99,home,139,45
401604410,20231106,2024,2,False,False,3250,William R. Johnson Coliseum,True,Stephen F. Austin Lumberjacks,2617,96,99,North American Stallions,126750,68,99,home,164,28
401598014,20231106,2024,2,False,False,350,William Nicks Building,True,Prairie View A&M Panthers,2504,89,99,Kansas Christian Falcons,123410,66,99,home,155,23
401581587,20231106,2024,2,True,False,7595,T-Mobile Arena,True,Oregon Ducks,2483,82,99,Georgia Bulldogs,61,71,99,home,153,11
401602729,20231106,2024,2,False,False,2483,Gill Coliseum,True,Oregon State Beavers,204,82,99,Linfield College Wildcats,203,46,99,home,128,36
401589360,20231106,2024,2,False,False,636,The Palestra,True,Pennsylvania Quakers,219,102,99,John Jay College Bloodhounds,212,57,99,home,159,45
401582016,20231106,2024,2,False,False,719,Kennedy Family Athletic Complex,True,UMass Lowell River Hawks,2349,96,99,Rivier Raiders,111913,51,99,home,147,45
